INF-BLD-002,INF,BLD,"Require infrastructure systems and buildouts to be carbon neutral or carbon negative",MISSING,2,2
TEC-JUD-087,TEC,JUD,"Use of AI to bypass legal protections on records privacy or expungement is prohibited and subject to enforcement",MISSING,2,2
TEC-JUD-088,TEC,JUD,"AI-generated content may not be used to influence jurors witnesses or proceedings outside the courtroom through targeted media or messaging",MISSING,2,2
TEC-JUD-089,TEC,JUD,"Courts must recognize and mitigate risks of AI-driven public influence campaigns that could affect jury impartiality or trial fairness",MISSING,2,2
TEC-JUD-090,TEC,JUD,"AI systems used in any permitted judicial context must have version control and may not change behavior during active cases without disclosure and review",MISSING,2,2
TEC-JUD-091,TEC,JUD,"Material changes to AI systems used in legal contexts must trigger revalidation and may not retroactively affect prior analyses without disclosure",MISSING,2,2
TEC-JUD-092,TEC,JUD,"Use of AI systems may not shift burden of proof evidentiary standards or procedural rights of any party in legal proceedings",MISSING,2,2
TEC-JUD-093,TEC,JUD,"Courts and judicial systems must use transparent procurement processes for any AI system including public disclosure and review before deployment",MISSING,2,2
TEC-JUD-094,TEC,JUD,"AI systems may not be deployed in judicial contexts without independent validation for fairness reliability and legal compliance",MISSING,2,2
TEC-JUD-095,TEC,JUD,"Courts must maintain the authority to suspend or prohibit use of any AI system that demonstrates bias unreliability or legal risk",MISSING,2,2
TEC-JUD-096,TEC,JUD,"Parties must have the right to request suspension of AI system use in a case where fairness or reliability is in question",MISSING,2,2
TEC-LAB-001,TEC,LAB,"AI systems in employment must not undermine worker rights dignity privacy or fair access to economic opportunity",MISSING,2,2
TEC-LAB-002,TEC,LAB,"AI systems may not make fully automated hiring firing promotion or compensation decisions without meaningful human review and accountability",MISSING,2,2
TEC-LAB-003,TEC,LAB,"AI systems may not be used to filter or rank job candidates using opaque or unexplainable criteria that materially affect employment opportunities",MISSING,2,2
TEC-LAB-004,TEC,LAB,"AI systems used in employment must be evaluated and mitigated for bias and may not result in discrimination based on protected characteristics or their proxies",MISSING,2,2
TEC-LAB-005,TEC,LAB,"Applicants and employees have the right to receive meaningful explanations of AI-influenced employment decisions",MISSING,2,2
TEC-LAB-006,TEC,LAB,"Ban use of AI systems for continuous intrusive monitoring of workers including biometric tracking keystroke logging and real-time behavioral surveillance except where strictly necessary and proportionate",MISSING,2,2
TEC-LAB-007,TEC,LAB,"Ban use of AI systems to infer or monitor worker emotions mood engagement or psychological state for employment decisions",MISSING,2,2
TEC-LAB-008,TEC,LAB,"Employers may not use AI systems to monitor or infer worker behavior outside of working hours",MISSING,2,2
TEC-LAB-009,TEC,LAB,"AI systems may not be used as the sole basis for disciplinary actions termination or compensation changes",MISSING,2,2
TEC-LAB-010,TEC,LAB,"AI-generated productivity or performance scores must be transparent auditable and may not be used without human review",MISSING,2,2
TEC-LAB-011,TEC,LAB,"AI systems may not be used to coerce workers into unsafe unreasonable or exploitative productivity targets",MISSING,2,2
TEC-LAB-012,TEC,LAB,"Workers must have the right to refuse use of AI systems that materially harm their dignity privacy or safety without retaliation",MISSING,2,2
TEC-LAB-013,TEC,LAB,"Workers must have access to human managers or decision-makers for matters affecting employment status discipline or working conditions",MISSING,2,2
TEC-LAB-014,TEC,LAB,"AI systems may only collect worker data that is strictly necessary for legitimate business purposes",MISSING,2,2
TEC-LAB-015,TEC,LAB,"Worker data collected through AI systems may not be sold shared or used for unrelated purposes",MISSING,2,2
TEC-LAB-016,TEC,LAB,"Workers have the right to access review and correct data collected about them by AI systems",MISSING,2,2
TEC-LAB-017,TEC,LAB,"Employers must disclose use of AI systems in hiring monitoring evaluation and decision-making processes",MISSING,2,2
TEC-LAB-018,TEC,LAB,"AI systems used in employment must be subject to regular independent audits for bias fairness and compliance",MISSING,2,2
TEC-LAB-019,TEC,LAB,"Employers must maintain documentation of AI system design purpose data sources and decision logic sufficient for oversight and accountability",MISSING,2,2
TEC-LAB-020,TEC,LAB,"Ban AI systems that assign risk scores predicting employee behavior such as likelihood of quitting unionizing or engaging in protected activity",MISSING,2,2
TEC-LAB-021,TEC,LAB,"Ban use of AI systems to identify monitor or suppress union activity collective bargaining or labor organizing",MISSING,2,2
TEC-LAB-022,TEC,LAB,"Ban use of AI systems that infer personality traits or psychological characteristics for hiring decisions without strong scientific validation and safeguards",MISSING,2,2
TEC-LAB-023,TEC,LAB,"Workers or their representatives must have a role in reviewing and approving deployment of high-impact AI systems in the workplace",MISSING,2,2
TEC-LAB-024,TEC,LAB,"Use of AI systems affecting working conditions must be subject to collective bargaining where applicable",MISSING,2,2
TEC-MIL-001,TEC,MIL,"Use of AI in military and intelligence contexts must preserve meaningful human control accountability and compliance with constitutional and international law",MISSING,2,2
TEC-MIL-002,TEC,MIL,"Ban AI systems that can independently select and engage targets with lethal force without meaningful human decision-making and accountability",MISSING,2,2
TEC-MIL-003,TEC,MIL,"Ban deployment of AI systems that can initiate or escalate use of force without real-time human authorization",MISSING,2,2
TEC-MIL-004,TEC,MIL,"Ban use of AI systems in nuclear command control targeting or launch decision processes",MISSING,2,2
TEC-MIL-005,TEC,MIL,"Ban AI systems from generating, recommending, or prioritizing targets for lethal action involving real persons; all such decisions must originate from human judgment and independently verifiable evidence",UPDATED,4,2
TEC-MIL-005A,TEC,MIL,"AI systems may not be used to narrow, filter, or rank potential human targets for lethal action in a manner that materially influences human decision-making",MISSING,2,2
TEC-MIL-006,TEC,MIL,"All use of lethal force involving AI systems must include a clearly identified human decision-maker responsible for final authorization",MISSING,2,2
TEC-MIL-007,TEC,MIL,"All AI-assisted military decisions must be logged and auditable including data inputs model outputs and human decision points",MISSING,2,2
TEC-MIL-008,TEC,MIL,"AI systems used in military decision-making must provide sufficient transparency to allow meaningful human understanding and oversight",MISSING,2,2
TEC-MIL-009,TEC,MIL,"AI systems used in military contexts must meet strict reliability and testing thresholds before deployment",MISSING,2,2
TEC-MIL-010,TEC,MIL,"Ban large-scale AI-driven intelligence surveillance systems that indiscriminately collect or analyze civilian data without legal authorization and oversight",MISSING,2,2
TEC-MIL-011,TEC,MIL,"Ban use of AI to profile individuals or populations for targeting based on probabilistic or behavioral inference alone",MISSING,2,2
TEC-MIL-012,TEC,MIL,"All AI military systems must comply with principles of distinction proportionality and necessity under the laws of armed conflict",MISSING,2,2
TEC-MIL-013,TEC,MIL,"Responsibility for actions taken using AI systems must be clearly attributable to human actors within a defined chain of command",MISSING,2,2
TEC-MIL-014,TEC,MIL,"Use of AI systems must not be used to obscure responsibility or evade legal accountability for military actions",MISSING,2,2
TEC-MIL-015,TEC,MIL,"Deployment of new classes of AI-enabled military capability must require explicit congressional authorization",MISSING,2,2
TEC-MIL-016,TEC,MIL,"Executive authority may not unilaterally expand the use of AI in warfare beyond clearly defined and authorized limits",MISSING,2,2
TEC-MIL-017,TEC,MIL,"Regular reporting to Congress and oversight bodies is required for all AI-enabled military programs",MISSING,2,2
TEC-MIL-018,TEC,MIL,"AI systems intended for military use must undergo controlled testing and evaluation prior to operational deployment",MISSING,2,2
TEC-MIL-019,TEC,MIL,"Ban use of real-world military operations as primary testing environments for unproven AI systems",MISSING,2,2
TEC-MIL-020,TEC,MIL,"Require adversarial testing and red-teaming of AI systems to identify failure modes misuse risks and unintended escalation scenarios",MISSING,2,2
TEC-MIL-021,TEC,MIL,"Private contractors developing AI for military use are subject to the same legal and ethical constraints as government entities",MISSING,2,2
TEC-MIL-022,TEC,MIL,"Government may not outsource decision-making authority or accountability for use of force to private entities or AI systems",MISSING,2,2
TEC-MIL-023,TEC,MIL,"Establish controls on export of high-risk military AI systems to prevent misuse by hostile actors or regimes with poor human-rights records",UNDEVELOPED,2,2
TEC-MIL-024,TEC,MIL,"AI systems may be used in defensive or non-person-targeting contexts including missile defense threat detection and interception where the system operates against incoming projectiles vehicles or clearly defined non-human targets",MISSING,2,2
TEC-MIL-025,TEC,MIL,"Defensive AI systems must not be repurposed or extended to identify select or target individual persons or groups",MISSING,2,2
TEC-MIL-026,TEC,MIL,"AI may be used for analysis classification and situational awareness provided it does not generate or recommend specific human targets for lethal action",MISSING,2,2
TEC-MIL-027,TEC,MIL,"Ban use of AI systems in the execution of offensive lethal force including target selection engagement decisions and weapon deployment",MISSING,2,2
TEC-MIL-028,TEC,MIL,"AI systems may be used in limited weapon guidance roles solely to improve accuracy and reduce collateral damage after a human has independently selected and authorized a lawful target",MISSING,2,2
TEC-MIL-029,TEC,MIL,"Guidance systems must not alter expand reinterpret or substitute the human-selected target and must operate within strictly defined engagement parameters",MISSING,2,2
TEC-MIL-030,TEC,MIL,"Guidance systems must be incapable of selecting new targets reprioritizing targets or initiating additional engagements",MISSING,2,2
TEC-MIL-031,TEC,MIL,"Human operators remain fully responsible for all outcomes of AI-assisted weapon guidance including unintended harm or collateral damage",MISSING,2,2
TEC-MIL-032,TEC,MIL,"AI may be used in defensive systems including missile interception threat detection and protection against incoming attacks where the system operates against non-human targets or active threats",MISSING,2,2
TEC-MIL-033,TEC,MIL,"Promote and pursue international treaties to limit and regulate the use of AI in military and intelligence contexts",MISSING,2,2
TEC-MIL-034,TEC,MIL,"International agreements should seek to prohibit fully autonomous lethal weapons and ensure meaningful human control over use of force",MISSING,2,2
TEC-MIL-035,TEC,MIL,"International treaties should establish bans on AI systems that independently select and engage human targets",MISSING,2,2
TEC-MIL-036,TEC,MIL,"International treaties should restrict AI use in nuclear command control and strategic weapons systems",MISSING,2,2
TEC-MIL-037,TEC,MIL,"Treaties should include transparency reporting requirements and verification mechanisms for high-risk military AI systems",MISSING,2,2
TEC-MIL-038,TEC,MIL,"International efforts should aim to prevent destabilizing AI arms races that increase risk of rapid escalation or accidental conflict",MISSING,2,2
TEC-MIL-039,TEC,MIL,"Support international controls on export and proliferation of high-risk military AI technologies to prevent misuse and human rights abuses",MISSING,2,2
TEC-MIL-040,TEC,MIL,"Violations of international military-AI treaty obligations by adversaries should trigger strong sanctions and other enforcement measures",MISSING,2,2
TEC-MIL-041,TEC,MIL,"Sanctions for deployment or export of prohibited military AI systems should be severe and coordinated internationally where possible",MISSING,2,2
TEC-MIL-042,TEC,MIL,"If an adversary deploys prohibited military AI systems, limited reciprocal emergency exceptions may be considered only under narrowly defined conditions and independent oversight",MISSING,2,2
TEC-MIL-043,TEC,MIL,"Any reciprocal exception to military AI prohibitions must be temporary, publicly reported to the fullest extent compatible with security, and subject to sunset and reauthorization",MISSING,2,2
TEC-MIL-044,TEC,MIL,"Core prohibitions on nuclear AI control, fully autonomous lethal targeting of persons, and unaccountable use of force remain in effect even during adversary noncompliance",MISSING,2,2
TEC-MIL-045,TEC,MIL,"Use of AI systems to autonomously select or engage human targets or to materially remove human accountability in lethal force decisions constitutes a violation of the laws of armed conflict and should be treated as a war crime",MISSING,2,2
TEC-MIL-046,TEC,MIL,"Deployment of AI systems that generate or recommend human targets for lethal action or that substitute for human judgment in use-of-force decisions should be prohibited under international law and treated as unlawful conduct",MISSING,2,2
TEC-MIL-047,TEC,MIL,"Use of AI systems in ways that violate principles of distinction proportionality or necessity under the laws of armed conflict constitutes a war crime regardless of whether a human operator is nominally involved",MISSING,2,2
TEC-MIL-048,TEC,MIL,"Use of AI solely for precision guidance to reduce collateral damage after lawful human target selection does not constitute prohibited offensive use provided it does not alter or expand the selected target",MISSING,2,2
TEC-MIL-049,TEC,MIL,"Individuals and commanders remain legally responsible for unlawful outcomes resulting from use of AI systems and may not use AI as a defense against liability",MISSING,2,2
TEC-MIL-050,TEC,MIL,"Establish a dedicated and fully developed cyber branch within the military focused on defensive and strategic cyber operations",MISSING,2,2
TEC-MIL-051,TEC,MIL,"The cyber branch shall be responsible for defense of critical infrastructure military systems and national cyber assets against hostile cyber activity",MISSING,2,2
TEC-MIL-052,TEC,MIL,"Offensive cyber operations must be strictly limited authorized at the highest levels and subject to the same legal and oversight frameworks governing use of force",MISSING,2,2
TEC-MIL-053,TEC,MIL,"Cyber operations must minimize impact on civilian infrastructure including healthcare utilities financial systems and communications networks",MISSING,2,2
TEC-MIL-054,TEC,MIL,"All cyber military operations are subject to oversight audit and accountability mechanisms equivalent to other military branches",MISSING,2,2
TEC-MIL-055,TEC,MIL,"The cyber military branch may not be used for domestic surveillance law enforcement or civilian monitoring except under narrowly defined and legally authorized emergency conditions",MISSING,2,2
TEC-MIL-056,TEC,MIL,"The cyber branch must coordinate with civilian agencies and private infrastructure operators while maintaining clear legal boundaries and accountability",MISSING,2,2
TEC-MIL-057,TEC,MIL,"The cyber branch should operate in alignment with international efforts to establish norms and treaties governing cyber warfare and infrastructure protection",MISSING,2,2
TEC-OVR-001,TEC,OVR,"Require public registration and disclosure of all government AI surveillance systems including purpose authority data sources and oversight structure",MISSING,2,2
TEC-OVR-002,TEC,OVR,"Require regular independent audits of all authorized government AI surveillance systems for legality bias accuracy and civil-liberties impacts",MISSING,2,2
TEC-OVR-003,TEC,OVR,"All government AI surveillance authorities and systems must have sunset dates and require periodic reauthorization",MISSING,2,2
TEC-SUR-001,TEC,SUR,"AI-powered surveillance must be strictly limited because it creates disproportionate risks to privacy civil liberties democratic participation and equal protection",MISSING,2,2
TEC-SUR-002,TEC,SUR,"Ban warrantless mass surveillance using AI including persistent monitoring of public activity communications or movement patterns",MISSING,2,2
TEC-SUR-003,TEC,SUR,"Ban persistent real-time AI tracking of individuals in public spaces without individualized judicial authorization",MISSING,2,2
TEC-SUR-004,TEC,SUR,"Ban AI systems that generate suspicion scores threat scores or predictive criminality assessments about individuals or groups",MISSING,2,2
TEC-SUR-005,TEC,SUR,"Ban predictive policing systems that use AI to forecast crime locations likely offenders or dangerous individuals",MISSING,2,2
TEC-SUR-006,TEC,SUR,"Ban use of AI systems to profile individuals or communities for heightened law enforcement attention based on protected characteristics proxies or aggregate behavioral inference",MISSING,2,2
TEC-SUR-007,TEC,SUR,"Ban AI systems that automatically escalate surveillance monitoring or enforcement actions without meaningful human review and accountability",MISSING,2,2
TEC-SUR-008,TEC,SUR,"Ban use of AI surveillance to identify track map or profile participants in lawful protests demonstrations union activity or political organizing absent individualized judicial authorization for specific crimes",MISSING,2,2
TEC-SUR-009,TEC,SUR,"Ban AI systems that map political social religious or associational networks of individuals absent individualized probable cause and judicial approval",MISSING,2,2
TEC-SUR-010,TEC,SUR,"Ban AI-enabled surveillance of journalists sources attorneys and protected communications absent the highest level of judicial review under narrowly defined circumstances",MISSING,2,2
TEC-SYN-001,TEC,SYN,"Synthetic media must not be used to deceive the public about real people or events in ways that cause harm, manipulate democratic processes, or undermine individual rights",MISSING,2,2
TEC-SYN-002,TEC,SYN,"Ban the use of AI-generated media to impersonate a real person for fraud, financial gain, or unauthorized access",MISSING,2,2
TEC-SYN-003,TEC,SYN,"Ban use of synthetic media to bypass identity verification systems",MISSING,2,2
TEC-SYN-004,TEC,SYN,"Ban creation and distribution of non-consensual synthetic sexual content depicting real individuals",MISSING,2,2
TEC-SYN-005,TEC,SYN,"Ban synthetic media that falsely depicts a real person saying or doing something in a way that would reasonably be understood as fact and would harm their reputation or safety",MISSING,2,2
TEC-SYN-006,TEC,SYN,"Ban use of synthetic media in political advertising or messaging that depicts real individuals engaging in fabricated actions or speech",MISSING,2,2
TEC-SYN-007,TEC,SYN,"Ban synthetic media used to materially mislead the public about the health, actions, or status of public officials",MISSING,2,2
TEC-SYN-008,TEC,SYN,"Ban coordinated use of synthetic media to mislead the public about real-world events, elections, or public safety",MISSING,2,2
TEC-SYN-009,TEC,SYN,"Require clear disclosure when media is substantially AI-generated or altered to depict realistic human activity",MISSING,2,2
TEC-SYN-010,TEC,SYN,"Require AI-generated video and audio to include persistent, tamper-resistant provenance markers",MISSING,2,2
TEC-SYN-011,TEC,SYN,"Provenance markers must be detectable using publicly available, open-source, and free tools",MISSING,2,2
TEC-SYN-012,TEC,SYN,"Developers of generative media systems must implement reasonable safeguards to prevent removal or circumvention of provenance markers",MISSING,2,2
TEC-SYN-013,TEC,SYN,"Allow synthetic media for parody, satire, or artistic expression where it is clearly labeled or would not reasonably be interpreted as factual",MISSING,2,2
TEC-SYN-014,TEC,SYN,"Allow use of synthetic media in journalism or documentary contexts when clearly disclosed and not used to mislead about real events",MISSING,2,2
TEC-SYN-015,TEC,SYN,"Allow use of synthetic media depicting real individuals with explicit informed consent",MISSING,2,2
