EDU-FIN-001,EDU,FIN,"Student loan debt forgiveness or large-scale restructuring",MISSING,2,2
IMM-TRF-002,IMM,TRF,"People reporting trafficking forced labor or coercive exploitation must be protected from retaliatory detention removal or loss of legal process while claims are investigated",MISSING,2,2
IMM-TRF-003,IMM,TRF,"Trafficking-related immigration protections must be accessible in practice and not buried behind narrow awareness discretionary barriers or unrealistic proof demands",MISSING,2,2
IMM-TRF-004,IMM,TRF,"Immigration and labor systems should coordinate to identify coercive employer-dependent structures that enable trafficking or status-based exploitation",MISSING,2,2
IMM-TRF-005,IMM,TRF,"Survivors of trafficking and severe exploitation should have durable and realistic pathways to stability protection and lawful status",MISSING,2,2
IMM-VIS-001,IMM,VIS,"Visa categories and lawful-entry pathways should be modernized to reduce arbitrary complexity mismatch with real-world needs and unnecessary precarity",MISSING,2,2
IMM-VIS-002,IMM,VIS,"Immigration pathways should be structured to reduce extreme wait times backlogs and category bottlenecks that undermine lawful migration",MISSING,2,2
IMM-VIS-003,IMM,VIS,"Green-card and permanent-residence systems should have predictable processing timelines and transparent queue information",MISSING,2,2
IMM-VIS-004,IMM,VIS,"Applicants for visas green cards and permanent residence must have meaningful access to status updates file contents and reasons for delay or denial",MISSING,2,2
IMM-VIS-005,IMM,VIS,"Application requirements should be simplified and standardized to reduce unnecessary legal expense paperwork duplication and procedural traps",MISSING,2,2
IMM-VIS-006,IMM,VIS,"Fees for visas green cards and permanent residence should be regulated so they do not function as exclusionary wealth barriers",MISSING,2,2
IMM-VIS-007,IMM,VIS,"Family-based and humanitarian pathways should not be structurally subordinated to employer-driven pathways in ways that undermine family unity or human dignity",MISSING,2,2
IMM-VIS-008,IMM,VIS,"Long-term residents with stable ties should have realistic pathways from temporary or precarious status to permanent residence",MISSING,2,2
IMM-VIS-009,IMM,VIS,"Immigration pathways should be resilient against administrative whiplash so applicants are not destabilized by abrupt policy reversals or inconsistent adjudication standards",MISSING,2,2
IMM-VIS-010,IMM,VIS,"The visa system must be comprehensively modernized to reduce arbitrariness backlog dependency complexity and vulnerability to abuse while preserving lawful orderly migration",MISSING,2,2
IMM-VIS-011,IMM,VIS,"Visa categories should be simplified clarified and reorganized where necessary so applicants can understand available pathways without excessive legal complexity",MISSING,2,2
IMM-VIS-012,IMM,VIS,"Overlapping or contradictory visa rules should be reduced to prevent arbitrary denials inconsistent adjudication and needless procedural traps",MISSING,2,2
IMM-VIS-013,IMM,VIS,"Visa pathways should be designed to reflect real family humanitarian educational and labor realities rather than outdated assumptions or artificial scarcity alone",MISSING,2,2
IMM-VIS-014,IMM,VIS,"Visa adjudications must operate under transparent target timelines with public reporting on delays backlogs and queue movement",MISSING,2,2
IMM-VIS-015,IMM,VIS,"Applicants must have meaningful access to real-time case status and understandable reasons for delay request for evidence or denial",MISSING,2,2
IMM-VIS-016,IMM,VIS,"Administrative delay may not be used as a de facto denial mechanism in visa adjudication",MISSING,2,2
IMM-VIS-017,IMM,VIS,"Visa adjudication standards must be clear consistent and written in language that reduces excessive discretion and arbitrary outcomes",MISSING,2,2
IMM-VIS-018,IMM,VIS,"Requests for documentation or proof in visa cases must be proportional realistic and tied to legitimate adjudicative need rather than bureaucratic overreach",MISSING,2,2
IMM-VIS-019,IMM,VIS,"Applicants must have meaningful opportunities to correct errors supplement records and respond to concerns before adverse decisions are finalized",MISSING,2,2
IMM-VIS-020,IMM,VIS,"Employment-based visa systems must reduce dependency on single employers and allow meaningful mobility when workers face abuse retaliation or exploitation",MISSING,2,2
IMM-VIS-021,IMM,VIS,"Student and trainee visa systems must protect against exploitation status confusion and arbitrary disruption of lawful educational pathways",MISSING,2,2
IMM-VIS-022,IMM,VIS,"Temporary visa systems should not be designed to keep people in prolonged precarity where long-term contribution and lawful presence justify a path to permanence",MISSING,2,2
IMM-VIS-023,IMM,VIS,"Family-based visa systems should prioritize reunification and reduce needless backlog separation and procedural complexity",MISSING,2,2
IMM-VIS-024,IMM,VIS,"Family-based applicants should not face excessive documentary or procedural burdens that functionally prevent ordinary families from accessing lawful pathways",MISSING,2,2
IMM-VIS-025,IMM,VIS,"Visa fees must be regulated so they cover legitimate administration without functioning as exclusionary wealth filters",MISSING,2,2
IMM-VIS-026,IMM,VIS,"Fee waivers reductions or public support should be available where cost would otherwise make lawful application practically inaccessible",MISSING,2,2
IMM-VIS-027,IMM,VIS,"Visa systems should include clear mechanisms for transition from temporary lawful status to permanent residence where residence contribution and stability justify it",MISSING,2,2
IMM-VIS-028,IMM,VIS,"People should not be forced into repeated cycles of temporary renewal where a durable lawful path is more appropriate and administratively rational",MISSING,2,2
IMM-VIS-029,IMM,VIS,"Applicants already in lawful immigration processes should be protected from abrupt policy reversals that unfairly destabilize pending or near-complete cases",MISSING,2,2
IMM-VIS-030,IMM,VIS,"Major changes to visa systems should include transition rules that protect reliance interests and avoid arbitrary disruption of lawful applicants and families",MISSING,2,2
LAB-WRK-001,LAB,WRK,"Establish a standard 4-day 32-hour work week without reduction in pay",MISSING,2,2
LAB-WRK-002,LAB,WRK,"Productivity gains from AI and automation must benefit workers through reduced working hours rather than increased workload",MISSING,2,2
LAB-WRK-003,LAB,WRK,"Guarantee overtime pay protections for all workers including salaried employees subject to defined thresholds and safeguards",MISSING,2,2
RGT-BOD-001,RGT,BOD,"Bodily autonomy",INCLUDED,2,2
RGT-BOD-002,RGT,BOD,"Abortion rights",INCLUDED,2,2
RGT-BOD-003,RGT,BOD,"Contraception rights",INCLUDED,2,2
RGT-BOD-004,RGT,BOD,"Gender affirming care",INCLUDED,2,2
RGT-BOD-005,RGT,BOD,"Ban intersex surgeries",INCLUDED,2,2
RGT-BOD-006,RGT,BOD,"Ban conversion therapy",INCLUDED,2,2
RGT-BOD-008,RGT,BOD,"Forced sterilization is prohibited in all contexts including criminal justice immigration disability guardianship public benefits and medical systems",MISSING,2,2
RGT-BOD-009,RGT,BOD,"No government institution court agency or private actor may require sterilization as a condition of status recognition confinement release treatment or legal compliance",MISSING,2,2
RGT-DET-001,RGT,PRV,"Ban indefinite detention",INCLUDED,2,2
RGT-DET-002,RGT,PRV,"Ban offshore incarceration",INCLUDED,2,2
RGT-EDU-001,RGT,EDU,"Right to education",MISSING,2,2
RGT-EQT-001,RGT,EQT,"Expanded equality protections",INCLUDED,2,2
RGT-EQT-002,RGT,EQT,"Include sexual orientation",INCLUDED,2,2
RGT-EQT-003,RGT,EQT,"Include romantic orientation",INCLUDED,2,2
RGT-EQT-004,RGT,EQT,"Expandable protections",INCLUDED,2,2
RGT-IDN-001,RGT,IDN,"Sex and gender markers should be removed from passports and government-issued identification documents including state drivers licenses unless a compelling rights-protective need is clearly demonstrated",MISSING,2,2
RGT-IDN-002,RGT,IDN,"People must have an explicit right to update sex and gender markers on birth records passports identification documents and other legal records without abusive barriers",MISSING,2,2
RGT-IDN-003,RGT,IDN,"No one may be required to undergo sterilization surgery or other irreversible medical procedures in order to update legal identity records",MISSING,2,2
RGT-PRV-001,RGT,PRV,"Explicit right to privacy",INCLUDED,2,2
RGT-PRV-002,RGT,PRV,"Medical privacy protections",INCLUDED,2,2
RGT-PRV-003,RGT,PRV,"Digital privacy protections",INCLUDED,2,2
RGT-REL-001,RGT,REL,"Freedom of religion",INCLUDED,2,2
RGT-REL-002,RGT,REL,"Freedom from religion",INCLUDED,2,2
RGT-REL-003,RGT,REL,"Remove abuse protections for religious orgs",INCLUDED,2,2
RGT-REL-004,RGT,REL,"Remove tax exemptions for abusive orgs",INCLUDED,2,2
RGT-TEC-001,RGT,TEC,"Ban government purchase of personal data",INCLUDED,2,2
